id,name.local,name.en,name.slug,code.id,children_count.sub_prefecture,geo.lat,geo.lon
CI2401,Adzopé,Adzopé,adzop-ci2401,CI2401,6,6.098,-3.855
CI2402,Akoupé,Akoupé,akoup-ci2402,CI2402,3,6.411,-3.916
CI2403,Alépé,Alépé,alp-ci2403,CI2403,5,5.569,-3.708
CI2404,Yakassé-Attobrou,Yakassé-Attobrou,yakass-attobrou-ci2404,CI2404,3,6.102,-3.552
