id,name.local,name.en,name.slug,code.id,children_count.sub_prefecture,geo.lat,geo.lon
CI1701,Dabakala,Dabakala,dabakala-ci1701,CI1701,10,8.373,-4.445
CI1702,Katiola,Katiola,katiola-ci1702,CI1702,3,8.206,-5.103
CI1703,Niakaramandougou,Niakaramandougou,niakaramandougou-ci1703,CI1703,6,8.881,-5.21
