id,name.local,name.en,name.slug,code.id,children_count.sub_prefecture,geo.lat,geo.lon
CI1901,Daoukro,Daoukro,daoukro-ci1901,CI1901,7,7.23,-3.998
CI1902,M'Bahiakro,M'Bahiakro,mbahiakro-ci1902,CI1902,3,7.631,-4.327
CI1903,Prikro,Prikro,prikro-ci1903,CI1903,5,7.715,-3.939
