id,name.local,name.en,name.slug,code.id,children_count.sub_prefecture,geo.lat,geo.lon
CI1001,Kaniasso,Kaniasso,kaniasso-ci1001,CI1001,3,10.05,-7.14
CI1002,Minignan,Minignan,minignan-ci1002,CI1002,4,10.161,-7.617
