id,name.local,name.en,name.slug,code.id,children_count.sub_prefecture,geo.lat,geo.lon
CI3101,Ferkessédougou,Ferkessédougou,ferkessdougou-ci3101,CI3101,3,9.578,-5.039
CI3102,Kong,Kong,kong-ci3102,CI3102,4,9.192,-4.465
CI3103,Ouangolodougou,Ouangolodougou,ouangolodougou-ci3103,CI3103,5,10.092,-5.39
