id,name.local,name.en,name.slug,code.id,children_count.sub_prefecture,geo.lat,geo.lon
CI3201,Biankouma,Biankouma,biankouma-ci3201,CI3201,7,7.762,-7.445
CI3202,Danané,Danané,danan-ci3202,CI3202,7,7.37,-8.181
CI3203,Man,Man,man-ci3203,CI3203,11,7.336,-7.71
CI3204,Sipilou,Sipilou,sipilou-ci3204,CI3204,2,7.868,-7.949
CI3205,Zouan-Hounien,Zouan-Hounien,zouan-hounien-ci3205,CI3205,6,6.856,-8.206
